Data da opinião,Nota,Título,Conteúdo
4 de dez.,5,Excelente hotel!,"Hotel com Ótima localização e excelente atendimento! Todos funcionários muito simpáticos, educados e prestativos! Poucas vezes fomos tão bem recebidos. Muito carinhosos especialmente com nossa filha. Nos sentimos em casa!  Quartos confortáveis e bem higienizados, café da manhã gostoso, na recepção sempre há como cortesia café, chá, água aromatizada, petiscos, e tb degustação de vinhos em dias específicos.  Indicamos e com certeza voltaremos!"
4 de dez.,5,Hotel Excelente! Recomendo,"A estadia foi excelente. Todos os prestadores do hotel , sem exceção, muito gentis, educados. Café da manhã excelente. Quarto e banheiros limpos . Amei a experiencia!!! Com certeza voltarei mais vezes."
2 de dez.,5,"Uma verdadeira família, todos carinhosos e gentis o tempo todo.","O receptivo na recepção é de uma gentileza inesquecível: Café, chocolate quente, água saboreada e biscoitinos, sem falar nos mimos que encontramos diariamente quando retornamos dos passeios. E o que falar do café da manhã? MARAVILHOSO!!!"
1 de dez.,5,Hotel de excelencia,"Mais do que um hotel! Simplesmente maravilhoso, atendimento nota 10. Esplendoroso café da manhã. Habitações ótimas. Os empregados fazem a diferença. Parabéns para a família Fioreze que sempre nos recebe muito bem."
1 de dez.,5,Hotel maravilhoso!,"Hotel maravilhoso e muito bem localizado, com 2 saídas, sendo uma pela rua principal! Pessoal atencioso e educado, com certeza voltarei! Também tivemos uma incrível surpresa, com um upgrade de quarto!"
1 de dez.,5,Hotel excelente,"Amei o hotel localização excelente, fica fácil da para fazer tudo a pé, atendimento do pessoal é diferenciado todos muito receptivos e simpáticos sempre prontos para ajudar , o café da manhã é maravilhoso."
nov. de 2022,5,Maravilhosa !,"Super recomendo, ótima localização, todos os funcionários muito educados e receptivos. O café da manhã é delicioso, com deliciosos bolos e mimos do hotel, os quartos aconchegantes. Obrigada e Parabéns !"
nov. de 2022,5,Maravilhoso,"Hotel maravilhoso.  Muito bem localizado! (Tem um acesso para a Av Borges, apesar da recepção ser em outra Av.)  Funcionários educados, simpáticos, atenciosos!  Nota 10!  Sempre tem café, chá, água saborizada e um biscoitinho para o hóspede."
nov. de 2022,5,Vontade de voltar logo.,Minha experiência foi excelente.  Encontrei uma estrutura acessível (sou cadeirante) e os funcionários me trataram com muito carinho.  Todos os meus pedidos foram atendidos.  O Café da manhã maravilhoso e a localização tbm foi muito favorável à minha estadia na cidade!
nov. de 2022,5,Hospedagem Maravilhosa,"Hotel maravilhoso, super bem localizado, com um atendimento excelente. Café da manhã farto e variado, funcionários super simpáticos . Com certeza um dos melhores hotéis em Gramado. Voltaremos outras vezes!"
nov. de 2022,5,Vale o preço!!!,"Excelente localização. Hotel super conservado. Roupas de cama e banho excelentes. Limpeza nota 10. Café da manhã completo. Funcionários atenciosos e muito gentis. Ganhamos frizante, cerveja, suco, chocolate, lanchinho de viagem! A diária é alta, mas vale cada centavo!"
nov. de 2022,5,Estadia perfeita! Staff maravilhoso!,Fui com esposa e 4 filhos pequenos ! O hotel é sensacional! Ficamos hospedados na suíte família e ficamos muito bem acomodados e fomos super bem tratados por todo o staff! A equestre é toda maravilhosa! Ficamos totalmente encantados.  A localização é simplesmente perfeita para visitar a cidade.  Com certeza voltaremos.  Super indicamos!
nov. de 2022,5,Maravilhoso,"Otimo atendimento, todos são muito atenciosos. O café da manhã é maravilhoso e bem completo. Tem uma localização excelente, conseguimos ir a pé em todos lugares em Gramado. Super recomendo e voltaremos com certeza."
nov. de 2022,5,Excelente,"Ótimo hotel, localização, atendimento dos funcionários, limpeza, café da manhã. No período de nossa hospedagem aconteceram degustações de vinhos e happy hour. Nos apaixonamos pelo hotel e pela cidade!"
nov. de 2022,5,Excelente localização! Funcionários muito atenciosos!,Hotel muito bem localizado. Muito confortável. Excelente café da manhã e acesso por 2 ruas o que facilita bastante para o turismo. Pode-se ir a pe aos principais pontos turisticos da cidade. Sem duvidas um dos melhores atendimentos que ja recebi. Toda a equipe muito atenciosa e gentil.
nov. de 2022,5,Uma experiência sem erros,"Hotel excelente! Em questão de limpeza , café da manhã, recepção. Todos simplesmente todos os funcionários são muito simpáticos! Super solícitos! Melhor hotel com certeza. Repleto de mimos, hospedagem sem defeitos. E olha que sempre tem algo para melhorar, eles não. Parabéns"
nov. de 2022,5,Lua de mel em gramado,"Excelente hotel, com equipe muito receptiva, educada e atenciosa! O café da manhã é espetacular, a localização é privilegiada, acessível para deficientes e muito limpo. Conta com uma mini copa que nos ajudou muito durante a viagem e ainda oferecem um delicioso chimarrão por conta da casa! Adoramos 😻"
nov. de 2022,5,Final de semana,"Sensacional, atendimento individualizado e de primeira classe. Sem a menor dúvida eles continuam sendo o melhor de Gramado, pela segunda vez fui surpreendido positivamente nesse hotel  Não tenho dúvida, quando voltar a Gramado ficarei aqui novamente"
nov. de 2022,5,Excelente,"Fiquei com minha familia hospedada no Hotel Fioreze Centro durante o feriado de 15 de novembro. Tudo maravilhoso : atendimento, cordialidade, café da manhã, atenção. Fomos surpreendidos positivamente. Hotel super bem localizado."
nov. de 2022,5,Sensacional,Café da manhã sensacional. Atendimento nota 10 e sempre observando a melhor forma de nós atender. Não voltaria para outro hotel em Gramado.  Obrigado a família Fioreze por tornar nossa experiência tão agradável.  Resumindo......  Nota 10.
nov. de 2022,5,Incrivel experiência,"Um dos melhores serviços que já vi em hotéis. Equipe incansável para fazer com que os hóspedes se sintam mimados e em casa. Gentis, atenciosos, prestativos. Café da manhã espetacular em sabor e variedade. Atmosfera acolhedora.    Meu único ponto é o tamanho dos quartos. Como são bem pequenos, você acaba escutando o barulho do corredor. Além disso, ficamos próximos da cozinha e com isso escutávamos o barulho das pessoas e utensílios logo cedo. Quando vinham arrumar o quarto, deixavam a janela aberta e, com isso, quando voltava o quarto estava cheirando a comida/fritura. Nada que tenha prejudicado a experiência, mas se possível, peçam por um quarto distante da cozinha."
nov. de 2022,5,Hotel perfeito,"Ótima localização! Café da manhã com opções variadas e deliciosas. Quartos amplos, limpos e arejados. O atendimento do staff foi perfeito! Os ""mimos"" que deixam nos quartos, de forma personalizada, nos fazem sentir bem acolhidos. É possível sair a noite, para vários restaurantes, sem utilizar carro... Muito prático e seguro. Recomendamos a estadia e pretendemos voltar!"
nov. de 2022,5,Experiência única e inesquecível!!!,"Os funcionários do Hotel Fioreze Centro merecem nossa primeira e máxima avaliação. Educação, simpatia, cordialidade, gentileza - características de TODA a equipe. Minha família só tem a agradecer pelo atendimento de excelência.  Quanto ao Hotel, adoramos toda a estrutura: instalações novas, café da manhã com farta variedade e muito sabor, limpeza impecável, localização excelente."
nov. de 2022,5,Maravilhoso!,"Hotel com uma ótima estrutura, localização perfeita, café da manhã colonial maravilhoso. Mas o que mais chama a atenção é o atendimento, respeito e atenção dos funcionários. Serviço de primeira qualidade."
nov. de 2022,5,SUPER RECOMENDO,"Sensacional o hotel. Atendimento, hospedagem, localização. Funcionários bem treinados, educados, gentis. Café da manhã excelente. Superou minhas expectativas, indo além do esperado. Muito acolhedor o local. Pouco barulho e praticamente do lado da Rua Coberta. Muito bem localizado."
nov. de 2022,5,Experiência maravilhosa,"Desde a recepção, camareiros, garçons, ninguém poupa sorrisos aos hóspedes, todos sempre solícitos para deixar o momento das férias o melhor possível. A proprietária do hotel ao saber que não havia a fruta preferida do meu filho no buffet do café da manhã (abacate), prontamente foi ao mercado comprar. Camas confortáveis, chuveiros com água bem quentinha, além da localização privilegiada no coração de Gramado, próximo a Rua Coberta. Super recomendo este hotel."
nov. de 2022,5,Excelente atendimento,"Conheci o Hotel por indicação de amigos e fui tomar um vinho com um amigo e o atendimento e atenção dos funcionários nos chamaram muita atenção. Dado um certo momento o Funcionário Arthur veio conversar conosco, sendo totalmente solicito e atencioso querendo tornar a nossa experiência ainda mais satisfatória. Ficamos extremamente felizes e satisfeitos com tamanha atenção e cordialidade."
nov. de 2022,5,Atendimento diferenciado,"O atendimento prestado é fora do normal. Todos são muito atenciosos, prestativos e educados. Realmente um dos hotéis em que mais me senti bem recebido. Recomendo a todos, é a melhor experiência vivida."
nov. de 2022,5,Otima experiencia,"Excelente atendimento, café da manhã muito bom, quartos bons, limpeza excelente, otima localizacao, preco justo. Destaque especial para o atendimento, todos os funcionarios extremamente educados e atenciosos."
nov. de 2022,5,Sensacional!,"Eu e meu marido resolvemos passar a lua de mel em Gramado. Acabamos escolhendo o Fioreze Centro pela localização e avaliações.  Nos surpreendemos demais e voltaríamos 1000x!!!  Começando pela educação de todos, as dicas e sorrisos que recebemos a todo tempo, além da acomodação confortável e o café da manhã com muita variedade e opções deliciosas.  A localização é excepcional, fizemos muitas coisas andando pelo centro.  Recomendamos sem a menor dúvida!!"
nov. de 2022,5,"Hospitalidade , ambiente acolhedor.","O Hotel está muito bem localizado, no centro de Gramado. O atendimento de todos os funcionários é excelente, são cordiais, educados , prestativos. Ambiente muito acolhedor. Fomos recepcionados com uma carta de boas vindas e uma cesta de frutas. O Café da manhã é maravilhoso. A copa kids tem tudo, inclusive achocolatado, leite, frutas e biscoito para o lanche das crianças. Meus filhos adoraram os brinquedos que ficam na recepção. Fizemos aniversário de meu esposo e eles providenciaram o bolo para o parabéns, que coincidiu com os 4 anos do hotel. Voltaria novamente. Melhor escolha de todos os tempos."
nov. de 2022,5,Surpresa especial,"Me senti como uma rainha! Que experiência incrível. Os funcionários do hotel são maravilhosos, tratamento vip. O café da manhã é outro espetáculo!!! Tudo era bom! Muita variedade e bom gosto nas escolhas. Não vejo a hora de voltar. Muito próximo a rua coberta, da pra fazer tudo a pe."
nov. de 2022,5,Hotel muito bom e com uma recepção maravilhosa. Acho que nunca fui tão bem atendida. Café da manhã muito gostoso. Obrigada por,"Parabéns pelo excelente atendimento desde a entrada até a nossa saída. Café da manhã maravilhoso. Pessoal da recepção são extremamente atenciosos, sair muito satisfeita com tudo. Obrigada pela atenção e cuidado com minha família. Um abraço"
out. de 2022,5,Top das galáxias,Dias maravilhosos  Ótimo atendimento  Pessoal Educado e atencioso  Recepção agradável  Gostamos  Café da manhã  Travesseiros  Cobertas  Limpeza dos quatro  Atenção dos funcionários  Decoração do hotel
out. de 2022,5,Gratidão a Deus,"O enxoval no geral são maravilhosos , tudo muito limpo e branquinho , o café da manhã é sensacional. Comemoramos 18 anos de casamento e fomos presenteados com vinho e mimos, a localização perfeita já queremos voltar 🙏🙏🙏 Obrigada Família Fioreze ❤️ Parabéns pela equipe ❤️"
out. de 2022,5,Atendimento excepcional,"Estive hospedada com a minha mãe em outubro e o atendimento foi excelente, estando ela com problemas de coluna eles nos deram mais atenção ainda. Todos os atendentes muito atenciosos prestativos. Do check-in ao checkout fomos muito bem atendidas. Café da manhã muito variado, com muitas opções de bolos, queijos etc. Super recomendo. Albani e Fabiana"
out. de 2022,5,Atendimento e qualidade do ambiente,"Café da manhã maravilhoso , quartos muito aconchegantes com camas e travesseiros bem macios, perto de tudo e com atendimento perfeito. Pra casais é uma excelente opção, espaço da academia muito bom !!  Com certeza daria 10 em todas as avaliações."
out. de 2022,5,Melhor experiência em hotel da minha vida,"A estadia no fioreze centro foi incrível! Com certeza a melhor experiência em hotéis que tive na vida. A localização é perfeita, fica bem no centro de gramado, da pra ir a pé nos principais pontos turísticos da cidade. Os funcionários são muito educados e prestativos. O café da manhã é espetacular, nível de café colonial. O quarto é muito bom também e confortável. O único ponto que eu achei negativo foi que o chuveiro demora um pouco pra esquentar a água, mas nada que 1 minuto de espera não resolva rsrs. Quando voltar em gramado em outra oportunidade, com certeza me hospedarei novamente no hotel!"
out. de 2022,5,Funcionários maravilhosos,Os travesseiros são muito macios. Todos os funcionários são muito atenciosos. Só falta nos carregar no colo. Me senti em casa. Muitos mimos. Estão todos de parabéns! Super recomendo! Excelente localização.
out. de 2022,5,Ótimo hotel,Hotel com funcionários extremamente atenciosos. Os quartos pequenos mas são muito limpos e são arrumados diariamente. A localização é muito próxima do Centro de Gramado . Não há restaurante no hotel (apenas café da manhã ) mas isso não fez diferença porque há inúmeros restaurantes muito bons bem perto.
out. de 2022,5,Estadia perfeita!,"Hotel com excelente estrutura, muito bem localizado, próximo dos principais restaurantes de Gramado. Quarto amplo, roupa de cama cheirosa, ducha do banheiro deliciosa. O café da manhã é maravilhoso, com muitas variedades e tudo saboroso. Destaque para a equipe da recepção, sempre simpáticos, atenciosos e solícitos."
out. de 2022,5,Melhor Hotel,"Um hotel muito especial, tanto na localização, acomodação e atendimento. Se hospedar nele foi uma experiência incrível, nos trataram de forma tão carinhosa, a gente se sentia realmente especial! Todos os funcionários, sem exceção, foram maravilhosos! Recomendo muito e voltarei com certeza!"
out. de 2022,5,Encanto,"Sabe aquele lugar em que você se sente em casa , mimada , bem cuidada ? Esse é o Hotel Fioreze Centro ! Toda a equipe é maravilhosa! Enfim voltaria 1000 vezes a Gramado só para poder usufruir dessa experiência inesquecível. Parabéns a todos que me possibilitaram esse momento."
out. de 2022,5,Viagem à Gramado,"O hotel é espetacular! ❤️  Quarto muito confortável, limpo, e organizado! Café da manhã bem variado e comidas feitas no próprio hotel !  Simplesmente divino!  Atendimento impecável dos funcionários!  Família Fioreze voltaremos em breve!"
out. de 2022,5,Voltaria com certeza!,"Não tem nada que não tenha sido perfeito! Localização supre privilegiada, bem no centro, você só vai precisar do carro para visitar outras cidades da região. Todos os funcionários são muito cordiais, hospitalidade nota 1000! Café da manhã super completo, bem estilo colonial.    Será sem dúvidas minha opção quando retornar à cidade!"
out. de 2022,5,Hotel maravilhoso,"Hotel maravilhoso, funcionários muito receptivos e atenciosos. Localização excelente, tenho um bebê pequeno, fazíamos os passeios e voltamos para o hotel trocar ele. Tudo perfeito, foi a primeira vez que viajei com meu bebê e lá eles tem um espaço kids muito bom e também uma copa baby, muito boa. Volto com toda a certeza me hospedar neste hotel. Obrigada pelo Carinho com a gente e com meu Bernardo."
out. de 2022,5,Excelente,"A equipe é super atenciosa, o café da manhã fantástico, tem opções vegana e sem lactose. Os quartos são confortáveis. A localização é excelente, além de disponibilizar bicicletas para os hóspedes passear pela cidade."
out. de 2022,5,Hotel muito aconchegante,"Café da manhã impecável, pessoal que trabalha no hotel são extremamente atenciosos, super recomendo!!! Comprometidos com o bem estar dos seus hóspedes simplesmente incrível tudo, voltaria sem dúvidas nesse hotel."
out. de 2022,5,Primoroso,"O hotel é primoroso na arte de fazer o hóspede sentir-se em casa e bem-vindo, todos os colaboradores chamavam o nosso filho pelo nome, sabendo como agradar a família. Sem falar na localização que facilita e proporciona uma melhor estadia."
out. de 2022,5,Perfeito em tudo!,"O hotel sabe muito bem como receber os hóspedes. Todos os funcionários se preocupam com o nosso bem estar e nossa satisfação. São extremamente bem preparados. A infraestrutura do hotel é nova, a primeira vista parece ser pequeno, mas quando percebemos ele é bem grande. A localização é excelente, com acesso por uma rua mais tranquila ou até acesso direto para a Borges de Medeiros. O café da manhã é delicioso, produzido todo no hotel. Durante o dia temos opções na recepção com alguns biscoitinhos, café, chá, chocolate quente. Quero agradecer a todos que fizeram da nossa experiência muito agradável, em especial à Jessica, ao Sr. Wilson, Luigi, Deivid e às meninas do café da manhã Zaira e Manuela. Muito obrigado a todos!"
out. de 2022,4,Aconchegante,"Equipe extremamente atenciosa e amorosa, realmente preocupados com o bem estar dos hóspedes. Ambiente aconchegante e acolhedor. Estrutura simples, nova e funcional! Quarto amplo com camas confortáveis. Senti falta de uma academia melhor estruturada."
out. de 2022,5,Excelente,"De fato um dos melhores hotéis desde a recepção até o quarto. Tanto é que indiquei para outros hóspedes que ficaram lá. Se voltar, com certeza é uma opção. Os funcionários são maravilhosos! Fazem esse lugar ser único!"
out. de 2022,5,Hotel Fioreze Centro,"Definitivamente o melhor atendimento hoteleiro que já experimentei, e olha que já nos hospedamos em hotéis ditos 5 estrelas. Pense em uma equipe educada, acolhedora, simpática, sempre pronta em ajudar e tornar sua experiência única e excepcional, agora multiplica por 1000. São perfeitos! Muito obrigada a toda equipe pela estadia sensacional. Se você gosta de ser bem tratado, este é o lugar!"
out. de 2022,5,Hotel perfeito!,"Hotel maravilhoso! Todos funcionários maravilhosos, sem exceção! Eu fui com minha família, com um bebê e o hotel estava preparado para receber ele! Tinha uma copinha para esquentar comida e leite, frutas e biscoitinho!! Brinquedos e um espaço kids! Amamos tudo! Café da manhã perfeito, com tudo fresquinho!! Nos sentimos em casa com tanta simpatia de todos! A localização é ótima! Quando voltarmos a Gramado, com ctz, vamos nos hospedar nesse hotel! Obrigada pela estadia inesquecível!"
out. de 2022,5,Hotel incrível,"O hotel é muito bem localizado, os funcionários são super atenciosos e solícitos, o café da manhã parece colonial e tudo sempre muito limpo e arejado!  Nós nos encantamos pela cidade, equipe e todo atendimento!  Já queremos voltar e nos hospedar novamente com a equipe fioreze!"
out. de 2022,5,Perfeito!,"Excelente hotel. Ótima localização, tem uma saída pra Rua Borges de Medeiros, o que facilita muito o passeio pelo centro de Gramado. O café da manhã é excelente, muitas opções e tudo muito gostoso e feito na hora. Os funcionários são muito educados e receptivos. A limpeza dos quartos é ótima. Os quartos são muito confortáveis. Não há o que reclamar. Tudo é perfeito neste hotel. Me proporcionou uma experiência incrível e com certeza ao voltar em Gramado me hospedarei novamente neste hotel."
out. de 2022,5,Hotel maravilhoso!!!!!,"Hotel maravilhoso!!!!  Tudo excelente, quartos limpos e organizados, localização do hotel é ótima, perto de tudo em Gramado, conseguíamos ir a pé na maioria das coisas, café da manhã delicioso, funcionários atenciosos, tudo impecável!! Amamos muito e voltaremos com certeza!!"
out. de 2022,5,Turismo,"Equipe altamente humanizada, profissional, voltada para atender com qualidade e surpreender o cliente. Instalações impecáveis, asseio, higiene, áreas comuns e apartamentos climatizados/com aquecimento, lareira no saguão, chá e café disponíveis o dia inteiro (muito importante pelo frio intenso). Café da manhã diversificado, variedade de frutas, bolos, queijos, geleias, mel, enfim, excepcional.  Sou um experimentado viajante/turista e nunca recebi um atendimento tão personalizado e atencioso. A Família Fiorese está de parabéns."
out. de 2022,5,Viajem Maravilhosa,"Hotel maravilhoso, todos os funcionários , sem excessão, com uma atenção e sorrisos como nunca vi em outro lugar, nos sentimos especiais. Café da manhã espetacular!! Voltarei com certeza!! Obrigada Família Fioreze!"
out. de 2022,5,Hotel lindo e com ótima localização,"Que hotel acolhedor! Amamos a estadia nele. Além da localização ser excelente (perto da Rua Borges de Medeiros, fazíamos tudo a pé), o hotel possui um atendimento incrível, muito acolhedor. Tem um café da manhã ótimo, com funcionários extremamente bem humorados. Amamos, e voltaríamos com certeza."
out. de 2022,5,Experiência única e espetacular,"o hotel já merece nota 10 pela localização próxima a vários pontos turísticos da cidade, limpeza impecável, café da manhã colonial maravilhoso e até um perfume especial que você já sente ao entrar no hotel. Mas o grande diferencial mesmo é o atendimento. Todos os funcionários, sem nenhuma exceção, são extremamente educados, atenciosos e solícitos, o atendimento é realmente impecável em todos os detalhes. Foi de longe a melhor experiência em atendimento que já tivemos em uma hospedagem."
out. de 2022,5,Viagem Top,"Gostei muito, pessoal do hotel muito simpatico, educado, desde a nossa chegada até o momento de ir embora.  Quartos limpos, café da manhã sensacional, ambiente perfumado, extremamente aconchegante. Com certeza quando eu voltar para Gramado ficarei no mesmo hotel Fioreze Centro, a localização e top na rua de trás da rua principal."
out. de 2022,5,Hotel Fioreze,"Dias maravilhosos, pessoas incríveis, viagem inesquecível! Família Fioreze para sempre nos nossos corações!  O hotel é muito aconchegante, o café da manhã é um verdadeiro café colonial, organização e limpeza 100%. Os funcionários são muito receptivos e atenciosos."
out. de 2022,5,Viagem,"Superou as expectativas. Hotel maravilhoso, aconchegante, limpo, uma equipe sensacional, educada e acolhedora, o café da manhã é maravilhoso um sabor único. Estamos contando os dias para voltar! Só temos a agradecer, trouxemos o cheirinho do hotel para casa e assim matarmos a saudade 🥰"
out. de 2022,5,Viagem,"Fomos comemorar aniversário de casamento. Hotel aconchegante, com um cheirinho único que trouxemos para casa! Equipe maravilhosa acolhedora e educada, hotel limpo, muito bonito e acolhedor. O café da manhã é maravilhoso. Já estamos com saudades!"
out. de 2022,5,O melhor hotel de Gramado e do Brasil,"Estou surpresa com o atendimento no hotel! MARAVILHOSOS TODOS! São extremamente atenciosos! Engraçados! Gentis! Nota 1.000!  O hotel é SUPER LIMPO, o café da manhã é PERFEITO! Estou muito feliz por ter conhecido e me hospedado neste hotel!"
out. de 2022,5,Hotel Maravilhoso,"Levei bastante tempo pra decidir onde ficaria hospedado ao ir pra gramado e após muita pesquisas, optei pelo hotel fioreze centro. Escolha perfeita. O café da manha bom, hospedagem aconchegante mas o mais legal de tudo foi o atendimento por parte dos funcionários. A equipe e excelente."
out. de 2022,5,Um hotel com o aconchego de casa,"Passamos dias maravilhosos em Gramado e sem dúvida alguma o Hotel Fioreze Centro foi um desses diferenciais que faz a gente efetuar o checkout já com gostinho de quero voltar. Eu seria injusta se não valorizasse cada um dos profissionais deste hotel que consolidam o que vem ser excelência em atendimento. Eu, minha mãe e tia fomos muito bem tratadas, com carinho de casa.  Já na recepção o atendimento simpático nos esclarecendo todos os pontos atinentes à hospedagem. Aquela menina Gabriela que faz da recepção um cantinho da melhor sala de estar, junto com todos os meninos, eles abrilhantam o espaço. Até o momento da minha chegada não tinha tido um check in tão acolhedor. Vitor e Fabrício mensageiros, donos de uma gentileza ímpar. As meninas da limpeza são maravilhosas. Proporcionando sempre um retorno organizado dos nossos passeios quando entramos no quarto.  Querem um café da manhã delicioso? Venham para o Fioreze! Pessoal do restaurante mostram o quanto toda equipe é alinhada com a tratativa chamada simpatia e profissionalismo.  Minha mãe e tia simplesmente amaram tudo.. e eu? Assino embaixo. Nota 10 com mérito aos gestores deste hotel que sabem fazer da administração uma arte. Obrigada Família Fioreze."
out. de 2022,5,Hotel ideal para todos os gostos,"O hotel tem uma localização excelente, no coração de gramado, e possui uma saída nos fundos que fica+- a 200m da rua coberta. Tem fácil acesso a restaurantes, mercadinhos e cafeteiras da região. Conta com uma incrível estrutura com sala de reuniões, salão de ginástica, espaço Kids e o espaço tchê, uma espécie de lounge. Na recepção, há um local com tv e outro com uma lareira que, quando acessa, torna o ambiente aconchegante, além de lá também contar com uma área onde há disponível ""comes e bebes"" à vontade a todo momento. Há micro-ondas disponível para aqueles que possuem crianças e, eventualmente, precisam usá-lo. O café da manhã é incrível e possui uma variedade enorme de doces e salgados repostos a todo momento, havendo, inclusive, comidas destinadas a diabéticos e celíacos. Em relação ao quarto: é confortável, cheiroso (assim como todo o hotel), silencioso, e com frequência havia um ""mimo/comidinha"" com um bilhetinho carinhoso, após chegarmos de um dia de passeio. Apenas 2 ressalvas: o chuveiro do quarto 306 às vezes esquentava muito, mas a equipe logo se prontificou a resolver, e o chuveirinho do banheiro também não gostei. Porém, uma coisa é inegável: o diferencial mesmo do hotel é a equipe de colaboradores, extremamente acolhedora e sempre disposta a resolver problemas e dar sugestões de passeios. Eu e meu marido fomos muito bem tratados por todos, sem exceção! Márcio, Luigi, Gabriela, Guilherme, Anderson, José, Jocimar, e tantos outros são o coração do Fiozere -Centro e contribuíram muito para a nossa experiência ser incrível! Certamente me hospedarei lá novamente, quando eu voltar, e o recomendo 100%."
set. de 2022,5,Viagem em setembro 2022,"Hotel com ótima localização, funcionários super atenciosos, café da manhã incrível! Tudo perfeito!!! Voltaria com certeza a me hospedar no hotel, e indicaria para pessoas que estão pensando em conhecer Gramado!"
set. de 2022,5,Hotel Incrível,"Minha experiência foi muito boa no hotel, todos nos atenderam muito bem, muito atenciosos e educados, quarto confortável e limpo. Café da manhã maravilhoso, com diversas opções. Fui para comemorar meu aniversário com meu namorado, ganhamos muitos brindes do hotel, sem dúvidas foi o melhor hotel que já me hospedei."
set. de 2022,5,Inicio das comemorações do aniversário de casamento,"Equipe cordial e muito profissional, gostamos muito da hospedagem e as instalações são muito boas. . Quarto pequeno, porém confortável. A localização é excelente, tudo próximo. Café da manhã perfeito."
set. de 2022,5,Visita aos vinhedos,"Fomos muito bem atendidos  Equipe profissional muito bom  Instalações boas  Café da manhã maravilhoso. Amamos tudo 💝  Recomendo, belíssimo e super bem localizado no centro de gramado . Não vejo a hora de voltar ."
set. de 2022,5,Hotel Fioreze centro,Foi excelente!!!!  A educação e simpatia da equipe não existe igual!! Todos adoráveis! Quartos confortáveis e um café da manhã delicioso!!  Sem contar os mimos e a limpeza impecável!  Estão todos se parabéns! E recomendo este hotel sempre!
set. de 2022,5,Aniversário de casamento,"Gostamos muito da estada no hotel. As pessoas q trabalho neste hotel são maravilhosos. Desde o mais simples até o de cargo elevado. Nota mil, para todos.  Café da manhã excelente muita variedade de coisas e todas deliciosas e os mimos q deixavam no nosso quarto uma graça.  Vocês são maravilhosos"
